"fuel_type_clean","date","emissions_kg","generation_mwh","emissions_kg_ma6"
"oil_and_natural_gas",2005-01-01,8900,478159,8900
"oil_and_natural_gas",2005-02-01,10800,763260,9850
"oil_and_natural_gas",2005-03-01,13400,949981,11033.3333333333
"oil_and_natural_gas",2005-04-01,12500,767757,11400
"oil_and_natural_gas",2005-05-01,6700,500886,10460
"oil_and_natural_gas",2005-06-01,1100,132487,8900
"oil_and_natural_gas",2005-07-01,1400,175300,7650
"oil_and_natural_gas",2005-08-01,1000,110614,6016.66666666667
"oil_and_natural_gas",2005-09-01,1300,151597,4000
"oil_and_natural_gas",2005-10-01,1200,173328,2116.66666666667
"oil_and_natural_gas",2005-11-01,2900,328795,1483.33333333333
"oil_and_natural_gas",2005-12-01,4400,543355,2033.33333333333
"oil_and_natural_gas",2006-01-01,5300,812268,2683.33333333333
"oil_and_natural_gas",2006-02-01,3700,408155,3133.33333333333
"oil_and_natural_gas",2006-03-01,4000,509331,3583.33333333333
"oil_and_natural_gas",2006-04-01,2100,274349,3733.33333333333
"oil_and_natural_gas",2006-05-01,500,90889,3333.33333333333
"oil_and_natural_gas",2006-06-01,1300,166573,2816.66666666667
"oil_and_natural_gas",2006-07-01,1000,136359,2100
"oil_and_natural_gas",2006-08-01,2200,332585,1850
"oil_and_natural_gas",2006-09-01,1100,199363,1366.66666666667
"oil_and_natural_gas",2006-10-01,700,128286,1133.33333333333
"oil_and_natural_gas",2006-11-01,5800,865920,2016.66666666667
"oil_and_natural_gas",2006-12-01,7400,942364,3033.33333333333
"oil_and_natural_gas",2007-01-01,5600,701266,3800
"oil_and_natural_gas",2007-02-01,6700,645803,4550
"oil_and_natural_gas",2007-03-01,6700,789267,5483.33333333333
"oil_and_natural_gas",2007-04-01,4100,527961,6050
"oil_and_natural_gas",2007-05-01,5800,870944,6050
"oil_and_natural_gas",2007-06-01,3700,397967,5433.33333333333
"oil_and_natural_gas",2007-07-01,2300,239819,4883.33333333333
"oil_and_natural_gas",2007-08-01,1300,168333,3983.33333333333
"oil_and_natural_gas",2007-09-01,1600,189007,3133.33333333333
"oil_and_natural_gas",2007-10-01,2100,256360,2800
"oil_and_natural_gas",2007-11-01,2100,245844,2183.33333333333
"oil_and_natural_gas",2007-12-01,2500,319585,1983.33333333333
"coal",2008-01-01,70800,2977918,70800
"oil_and_natural_gas",2008-01-01,2400,439102,2000
"coal",2008-02-01,61500,2557468,66150
"oil_and_natural_gas",2008-02-01,1700,379351,2066.66666666667
"coal",2008-03-01,56000,2665043,62766.6666666667
"oil_and_natural_gas",2008-03-01,800,199047,1933.33333333333
"coal",2008-04-01,60400,2565437,62175
"oil_and_natural_gas",2008-04-01,400,72390,1650
"coal",2008-05-01,64100,2653026,62560
"oil_and_natural_gas",2008-05-01,500,49678,1383.33333333333
"coal",2008-06-01,73000,2863845,64300
"oil_and_natural_gas",2008-06-01,300,59082,1016.66666666667
"coal",2008-07-01,71800,2955328,64466.6666666667
"oil_and_natural_gas",2008-07-01,2200,320331,983.333333333333
"coal",2008-08-01,75700,2963656,66833.3333333333
"oil_and_natural_gas",2008-08-01,300,42880,750
"coal",2008-09-01,64100,2579673,68183.3333333333
"oil_and_natural_gas",2008-09-01,600,64641,716.666666666667
"coal",2008-10-01,62500,2620621,68533.3333333333
"oil_and_natural_gas",2008-10-01,500,90271,733.333333333333
"coal",2008-11-01,57900,2623665,67500
"oil_and_natural_gas",2008-11-01,400,48510,716.666666666667
"coal",2008-12-01,60700,2808384,65450
"oil_and_natural_gas",2008-12-01,900,162576,816.666666666667
"coal",2009-01-01,68400,3011422,64883.3333333333
"oil_and_natural_gas",2009-01-01,2500,536368,866.666666666667
"coal",2009-02-01,54500,2531510,61350
"oil_and_natural_gas",2009-02-01,2600,591106,1250
"coal",2009-03-01,54100,2738554,59683.3333333333
"oil_and_natural_gas",2009-03-01,1800,472467,1450
"coal",2009-04-01,54700,2430528,58383.3333333333
"oil_and_natural_gas",2009-04-01,1800,609351,1666.66666666667
"coal",2009-05-01,55800,2441095,58033.3333333333
"oil_and_natural_gas",2009-05-01,1000,279249,1766.66666666667
"coal",2009-06-01,54900,2721464,57066.6666666667
"oil_and_natural_gas",2009-06-01,100,22992,1633.33333333333
"coal",2009-07-01,63500,2943018,56250
"oil_and_natural_gas",2009-07-01,200,32115,1250
"coal",2009-08-01,63900,2938397,57816.6666666667
"oil_and_natural_gas",2009-08-01,900,132280,966.666666666667
"coal",2009-09-01,62000,2932563,59133.3333333333
"oil_and_natural_gas",2009-09-01,200,42624,700
"coal",2009-10-01,63700,2764861,60633.3333333333
"oil_and_natural_gas",2009-10-01,200,19199,433.333333333333
"coal",2009-11-01,60700,2959010,61450
"oil_and_natural_gas",2009-11-01,2700,382463,716.666666666667
"coal",2009-12-01,53900,2670587,61283.3333333333
"oil_and_natural_gas",2009-12-01,4200,520415,1400
"bio_oil_and_diesel",2010-01-01,857,112324.9,857
"coal",2010-01-01,155828.3587,9600710.079,76671.3931166667
