"fuel_type_clean","date","energy_generated_mwh","energy_generated_mwh_ma6"
"coal",2002-01-01,1597807,1597807
"natural_gas",2002-01-01,687645,687645
"coal",2002-02-01,1437237,1517522
"natural_gas",2002-02-01,405132,546388.5
"coal",2002-03-01,1507802,1514282
"natural_gas",2002-03-01,514710,535829
"coal",2002-04-01,1822555,1591350.25
"natural_gas",2002-04-01,482999,522621.5
"coal",2002-05-01,1559033,1584886.8
"natural_gas",2002-05-01,560565,530210.2
"coal",2002-06-01,1987147,1651930.16666667
"natural_gas",2002-06-01,657424,551412.5
"coal",2002-07-01,2042183,1725992.83333333
"natural_gas",2002-07-01,800501,570221.833333333
"coal",2002-08-01,1914423,1805523.83333333
"natural_gas",2002-08-01,745032,626871.833333333
"coal",2002-09-01,1777645,1850497.66666667
"natural_gas",2002-09-01,656237,650459.666666667
"coal",2002-10-01,2128967,1901566.33333333
"natural_gas",2002-10-01,747246,694500.833333333
"coal",2002-11-01,2100670,1991839.16666667
"natural_gas",2002-11-01,675114,713592.333333333
"coal",2002-12-01,2183757,2024607.5
"natural_gas",2002-12-01,594307,703072.833333333
"coal",2003-01-01,1956415,2010312.83333333
"natural_gas",2003-01-01,597339,669212.5
"coal",2003-02-01,1792346,1989966.66666667
"natural_gas",2003-02-01,350587,603471.666666667
"coal",2003-03-01,1827808,1998327.16666667
"natural_gas",2003-03-01,533519,583018.666666667
"coal",2003-04-01,1950453,1968574.83333333
"natural_gas",2003-04-01,608666,559922
"coal",2003-05-01,1842854,1925605.5
"natural_gas",2003-05-01,709261,565613.166666667
"coal",2003-06-01,2058561,1904739.5
"natural_gas",2003-06-01,672753,578687.5
"coal",2003-07-01,2096948,1928161.66666667
"natural_gas",2003-07-01,698875,595610.166666667
"coal",2003-08-01,2078201,1975804.16666667
"natural_gas",2003-08-01,684771,651307.5
"coal",2003-09-01,1708209,1955871
"natural_gas",2003-09-01,491281,644267.833333333
"coal",2003-10-01,1929510,1952380.5
"natural_gas",2003-10-01,573714,638442.5
"coal",2003-11-01,2058368,1988299.5
"natural_gas",2003-11-01,573409,615800.5
"coal",2003-12-01,2071946,1990530.33333333
"natural_gas",2003-12-01,655140,612865
"coal",2004-01-01,2115066,1993550
"natural_gas",2004-01-01,766734,624174.833333333
"coal",2004-02-01,2080479,1993929.66666667
"natural_gas",2004-02-01,736627,632817.5
"coal",2004-03-01,1906662,2027005.16666667
"natural_gas",2004-03-01,707736,668893.333333333
"coal",2004-04-01,1905845,2023061
"natural_gas",2004-04-01,677047,686115.5
"coal",2004-05-01,1910275,1998378.83333333
"natural_gas",2004-05-01,741912,714199.333333333
"coal",2004-06-01,2080134,1999743.5
"natural_gas",2004-06-01,807725,739630.166666667
"coal",2004-07-01,2066411,1991634.33333333
"natural_gas",2004-07-01,772942,740664.833333333
"coal",2004-08-01,2156859,2004364.33333333
"natural_gas",2004-08-01,744085,741907.833333333
"coal",2004-09-01,1971317,2015140.16666667
"natural_gas",2004-09-01,562344,717675.833333333
"coal",2004-10-01,2198270,2063877.66666667
"natural_gas",2004-10-01,720460,724911.333333333
"coal",2004-11-01,2148528,2103586.5
"natural_gas",2004-11-01,494711,683711.166666667
"coal",2004-12-01,2225917,2127883.66666667
"natural_gas",2004-12-01,774575,678186.166666667
"coal",2005-01-01,1905519,2101068.33333333
"natural_gas",2005-01-01,810693,684478
"oil_and_natural_gas",2005-01-01,900595,900595
"coal",2005-02-01,1653177,2017121.33333333
"natural_gas",2005-02-01,452840,635937.166666667
"oil_and_natural_gas",2005-02-01,763260,831927.5
"coal",2005-03-01,1903643,2005842.33333333
"natural_gas",2005-03-01,768660,670323.166666667
"oil_and_natural_gas",2005-03-01,949981,871278.666666667
"coal",2005-04-01,1818696,1942580
"natural_gas",2005-04-01,348109,608264.666666667
"oil_and_natural_gas",2005-04-01,767757,845398.25
"coal",2005-05-01,2155471,1943737.16666667
"natural_gas",2005-05-01,387384,590376.833333333
"oil_and_natural_gas",2005-05-01,500886,776495.8
"coal",2005-06-01,2093471,1921662.83333333
"natural_gas",2005-06-01,667335,572503.5
"oil_and_natural_gas",2005-06-01,132487,669161
